post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
150712508.supplemental-m47-earthquake-rattles,,false,,,newsletter,only_paid,,,
150708136.mw47-earthquake-strikes-within-death,2024-10-25T19:34:18.493Z,true,2024-10-25T19:34:19.336Z,2024-10-25T19:34:19.336Z,newsletter,everyone,Mw4.7 earthquake strikes within Death Valley,We propose a potential new strike-slip fault beneath the valley floor,
150592812.mw58-earthquake-strikes-eastern-indonesia,2024-10-23T13:40:25.346Z,true,2024-10-23T13:40:25.564Z,2024-10-23T13:40:25.564Z,newsletter,everyone,Mw5.8 earthquake strikes eastern Indonesia,We finally take on an earthquake in the Molucca Sea region,
150590705.ed2,,false,,,newsletter,only_paid,,,
150515428.2ed,,false,,,newsletter,only_paid,,,
150313809.c18,,false,,,newsletter,only_paid,,,
150304058.6c1,,false,,,newsletter,only_paid,,,
150302077.mw60-earthquake-shakes-eastern-turkiye,2024-10-16T16:50:11.711Z,true,2024-10-16T16:50:11.975Z,2024-10-16T16:50:11.975Z,newsletter,everyone,Mw6.0 earthquake shakes eastern Türkiye,A triggered event on the East Anatolian Fault between the 2020 Elazığ and 2023 Pazarcık earthquakes. ,
150152959.old-m62-earthquake-shakes-costa-rica,,false,,,newsletter,only_paid,,,
150148948.m62-earthquake-shakes-the-nicoya,2024-10-13T16:34:35.767Z,true,2024-10-13T16:34:35.930Z,2024-10-13T16:34:35.930Z,newsletter,everyone,M6.2 earthquake shakes the Nicoya Peninsula in Costa Rica,An unusual earthquake along a fascinating part of the Middle America Trench,
149922381.magnitude-44-earthquake-shakes-central,2024-10-07T20:15:55.845Z,true,2024-10-07T20:15:56.058Z,2024-10-07T20:15:56.058Z,newsletter,everyone,Magnitude 4.4 earthquake shakes Central Greece,Normal faulting event close to an unusual earthquake swarm in 2020-2021,
149713019.machine-learning-for-earthquake-prediction,,false,,,newsletter,only_paid,,,
149568157.another-machine-learning-study-says,,false,,,newsletter,only_paid,,,
149460227.277,,false,,,newsletter,only_paid,,,
149054869.shallow-m50-earthquake-shakes-west,2024-09-18T17:42:34.317Z,true,2024-09-18T17:42:34.482Z,2024-09-18T17:42:34.482Z,newsletter,only_paid,"Shallow M5.0 earthquake shakes West Java, Indonesia",A moderate event strikes beneath an active volcanic region - what was the source?,
149001993.anthropogenic-earthquakes-in-texas,,false,,,newsletter,only_paid,,,
148953542.m65-earthquake-strikes-offshore-western,2024-09-16T15:37:35.059Z,true,2024-09-16T15:37:35.233Z,2024-09-16T15:37:35.233Z,newsletter,only_paid,M6.5 earthquake strikes offshore western Canada,Comparing Canada to California: A tale of two North American-Pacific transform plate boundaries,
148816350.malibu-earthquake-dyfi-stuff,,false,,,newsletter,only_paid,,,
148812950.m47-strikes-near-malibu-california,2024-09-12T20:38:34.464Z,true,2024-09-12T20:38:34.645Z,2024-09-12T20:38:34.645Z,newsletter,only_paid,"M4.7 strikes near Malibu, California",Another moderate-sized event during a busy earthquake year in California,
148774233.2b3,,false,,,newsletter,only_paid,,,
148762804.m54-earthquake-shakes-northern-pakistan,2024-09-11T16:59:33.973Z,true,2024-09-11T16:59:34.127Z,2024-09-11T16:59:34.127Z,newsletter,only_paid,M5.4 earthquake shakes northern Pakistan,What do we know about faults in the eastern Sulaiman Range?,
148681356.does-this-machine-learning-model,2024-09-27T16:25:44.041Z,true,2024-09-27T16:25:44.209Z,2024-09-27T16:25:44.209Z,newsletter,everyone,Does this machine learning model predict large earthquakes? Maybe not.,We examine a new earthquake paper in Nature Communications.,
148609528.mw5-aftershock-occurs-near-epicenter,2024-09-07T15:57:08.270Z,true,2024-09-07T15:57:08.417Z,2024-09-07T15:57:08.417Z,newsletter,only_paid,Mw5 aftershock occurs near epicenter of 2023 M7.8 Turkey-Syria earthquake,"Largest aftershock since January 25, 2024.",
148589440.new-paper-claiming-to-find-precursory,,false,,,newsletter,only_paid,,,
148574716.another-earthquake-precursor-paper,,false,,,newsletter,only_paid,,,
148557885.bismarck-references,,false,,,newsletter,only_paid,,,
148557875.321,,false,,,newsletter,only_paid,,,
148530958.m62-earthquake-shakes-papua-new-guinea,2024-09-06T02:04:48.679Z,true,2024-09-06T02:04:48.773Z,2024-09-06T02:04:48.773Z,newsletter,only_paid,M6.2 earthquake shakes Papua New Guinea,We look at the regional tectonic setting of this moderate earthquake,
148372091.montreal-jolted-by-m38-earthquake,2024-09-01T22:32:41.442Z,true,2024-09-01T22:32:41.563Z,2024-09-01T22:32:41.563Z,newsletter,only_paid,Montreal jolted by M3.8 earthquake - small by historical standards,"Holy complex intraplate geology, Batman!",
148275789.in-the-news,2024-08-29T20:25:45.736Z,true,,,page,everyone,In the news,,
148271618.by-location,2024-08-31T20:08:59.125Z,true,,,page,everyone,By location,,
148269655.c7c,,false,,,page,everyone,,,
148269455.notable-earthquakes,2024-08-29T16:24:47.288Z,true,,,page,everyone,Notable earthquakes,,
148146847.352,,false,,,newsletter,only_paid,,,
148143997.m54-earthquake-shakes-portugal,2024-08-26T22:15:31.342Z,true,2024-08-26T22:15:31.500Z,2024-08-26T22:15:31.500Z,newsletter,only_paid,M5.4 earthquake shakes Portugal,A relatively small event raises memories of past great earthquakes,
148058188.f36,,false,,,newsletter,only_paid,,,
147831586.m71-strikes-offshore-kamchatka-in,2024-08-18T18:54:26.779Z,true,2024-08-18T18:54:26.901Z,2024-08-18T18:54:26.901Z,newsletter,only_paid,M7.1 strikes offshore Kamchatka - in an area that nucleated a M9 in 1952,"We consider a hypothetical ""megaquake advisory"" system in Kamchatka",
147831159.new-earthquakes-along-eastern-coast,,false,,,newsletter,only_paid,,,
147831152.f99,,false,,,newsletter,only_paid,,,
147642388.m51-earthquake-in-syria-east-of-dead,,false,,,newsletter,only_paid,,,
147638683.m44-earthquake-shakes-los-angeles,,false,,,newsletter,only_paid,,,
147635738.m44-thrust-earthquake-rattles-los,2024-08-13T02:27:10.922Z,true,2024-08-13T02:27:11.025Z,2024-08-13T02:27:11.025Z,newsletter,only_paid,M4.4 thrust earthquake rattles Los Angeles,We take a quick look at the geology of the faults in the epicentral region,
147481783.m71-earthquake-strikes-southern-japan,2024-08-08T18:56:54.130Z,true,2024-08-08T18:56:54.608Z,2024-08-08T18:56:54.608Z,newsletter,only_paid,M7.1 earthquake strikes southern Japan; megaquake advisory issued,An indication of elevated risk - but not a prediction,
147443486.m52-earthquake-shakes-south-and-central,2024-08-07T21:16:09.654Z,true,2024-08-07T21:16:09.838Z,2024-08-07T21:16:09.838Z,newsletter,only_paid,M5.2 earthquake shakes south and central California,We take a look at the nearby 1952 M7.3 Kern County earthquake.,
147295667.m68-earthquake-offshore-mindanao,2024-08-03T01:35:48.478Z,true,2024-08-03T01:35:48.612Z,2024-08-03T01:35:48.612Z,newsletter,only_paid,M6.8 earthquake offshore Mindanao is delayed aftershock of 2023 M7.6,Largest aftershock since Dec. 3,
147162167.m49-earthquake-near-barstow-california,2024-07-30T19:06:13.121Z,true,2024-07-30T19:06:13.299Z,2024-07-30T19:06:13.299Z,newsletter,only_paid,"M4.9 earthquake near Barstow, California",Several M7+ earthquakes have occurred in this region - how does this one fit in?,
147094226.m51-earthquake-in-vietnam-is-largest,2024-07-28T23:22:52.843Z,true,2024-07-28T23:22:52.941Z,2024-07-28T23:22:52.941Z,newsletter,only_paid,M5.1 earthquake in Vietnam is largest in country since 2007,Associated with a hydroelectric power plant with 17.4-km long tunnel,
146916557.m49-west-texas-earthquake-presumed,2024-07-23T17:40:41.938Z,true,2024-07-23T17:40:42.037Z,2024-07-23T17:40:42.037Z,newsletter,only_paid,M4.9 west Texas earthquake presumed anthropogenic ,"Shaking reported by >1,600 people",
146785146.m74-earthquake-shakes-chile,2024-07-19T13:38:29.800Z,true,2024-07-19T13:38:29.906Z,2024-07-19T13:38:29.906Z,newsletter,only_paid,M7.4 earthquake shakes Chile,Moderate-depth event within the subducting slab,
146529360.swarm-offshore-vancouver-island-punctuated,2024-07-12T14:08:33.979Z,true,2024-07-12T14:08:34.173Z,2024-07-12T14:08:34.173Z,newsletter,everyone,Swarm offshore Vancouver Island punctuated by M6.4 earthquake,A combination of oceanic transforms and a small deforming plate makes M6+ earthquakes common here,
146472638.m67-earthquake-strikes-between-south,2024-07-11T01:14:53.487Z,true,2024-07-11T01:14:53.623Z,2024-07-11T01:14:53.623Z,newsletter,only_paid,M6.7 earthquake strikes between South Africa and Antarctica,A remote but fairly large transform fault earthquake beneath the Southern Ocean,
146322964.cut-from-bn24-response,,false,,,newsletter,only_paid,,,
146077802.m72-earthquake-in-southern-peru-causes,2024-06-28T16:03:17.861Z,true,2024-06-28T16:03:18.013Z,2024-06-28T16:03:18.013Z,newsletter,only_paid,M7.2 earthquake in southern Peru causes minor damage,Preceded by foreshock activity starting on June 16,
146076461.m72-earthquake-strikes-coast-of-south,,false,,,newsletter,only_paid,,,
145918093.m6-earthquake-beneath-northern-venezuela,2024-06-23T23:48:44.415Z,true,2024-06-23T23:48:44.542Z,2024-06-23T23:48:44.542Z,newsletter,only_paid,M6 earthquake beneath northern Venezuela was felt up to 700 km away,"Part of a dense, deep cluster of seismicity associated with a lithospheric tear",
145891139.m43-earthquake-on-maacama-fault-rattles,2024-06-22T18:16:17.911Z,true,2024-06-22T18:16:18.141Z,2024-06-22T18:16:18.141Z,newsletter,only_paid,M4.3 earthquake on Maacama Fault rattles Northern California,An evolving fault that both creeps and quakes,
145863224.why-havent-there-been-any-earthquakes,,false,,,newsletter,only_paid,,,
145659223.precursory-slip-before-large-earthquakes,2024-07-25T15:05:40.484Z,true,2024-07-25T15:05:40.689Z,2024-07-25T15:05:40.689Z,newsletter,everyone,Precursory slip before large earthquakes - signal or noise?,We evaluate a new defense of noisy data used in a 2023 Science paper,
145503804.why-are-some-faults-so-creepy,2024-06-14T15:13:39.304Z,true,2024-06-14T15:13:39.448Z,2024-06-14T15:13:39.448Z,newsletter,everyone,Why are some faults so creepy? ,"We dive into a new Nature paper that makes a surprising claim about why some faults slide all the time, while others get stuck.",
145255067.m58-earthquake-strikes-noto-peninsula,2024-06-03T15:48:11.898Z,true,2024-06-03T15:48:12.027Z,2024-06-03T15:48:12.027Z,newsletter,only_paid,"M5.8 earthquake strikes Noto Peninsula, Japan","An aftershock, or another event emerging from the swarm?",
145057076.m59-earthquake-shakes-simeulue-indonesia,2024-05-28T20:17:31.061Z,true,2024-05-28T20:17:31.147Z,2024-05-28T20:17:31.147Z,newsletter,only_paid,"M5.9 earthquake shakes Simeulue, Indonesia",A moderate event in a gap between two recent great earthquakes,
144657924.m56-earthquake-northwest-of-puerto,,false,,,newsletter,only_paid,,,
144630612.m51-earthquake-shakes-indonesian,2024-05-15T01:14:14.292Z,true,2024-05-15T01:14:14.934Z,2024-05-15T01:14:14.934Z,newsletter,only_paid,M5.1 earthquake shakes Indonesian islands of Bali and Lombok,Possible aftershock of the 2018 M6.9+M6.9 earthquake doublet,
144569742.def,,false,,,newsletter,only_paid,,,
144568596.m49-earthquake-at-the-cierro-prieto,2024-05-13T21:11:47.638Z,true,2024-05-13T21:11:47.845Z,2024-05-13T21:11:47.845Z,newsletter,only_paid,"M4.9 earthquake at the Cierro Prieto geothermal field, Baja California, Mexico",A moderate earthquake in a huge geothermal energy field,
144560203.m64-earthquake-shakes-coast-of-mexico,2024-05-12T20:03:43.580Z,true,2024-05-12T20:03:43.672Z,2024-05-12T20:03:43.672Z,newsletter,only_paid,"M6.4 earthquake shakes coast of Mexico, Guatemala",Normal-mechanism event in the sinking Cocos slab at the Middle America Trench,
144361897.m62-earthquake-strikes-offshore-seram,,false,,,newsletter,only_paid,,,
144361482.m56-m54-earthquakes-strike-south,2024-05-06T16:58:53.773Z,true,2024-05-06T16:58:53.934Z,2024-05-06T16:58:53.934Z,newsletter,only_paid,"M5.6, M5.4 earthquakes strike south of Hualien, Taiwan",A possible reinvigoration of the swarm? Maybe not.,
144273430.m57-earthquake-in-the-leyte-gulf,2024-05-03T20:30:46.045Z,true,2024-05-03T20:30:46.128Z,2024-05-03T20:30:46.128Z,newsletter,only_paid,"M5.7 earthquake in the Leyte Gulf, Philippines",Enigmatic event in an already complicated tectonic region,
143858590.seismic-swarm-near-southern-tip-of,2024-04-22T16:57:04.381Z,true,2024-04-22T16:57:04.580Z,2024-04-22T16:57:04.580Z,newsletter,only_paid,Seismic swarm near southern tip of April 3 M7.4 in Taiwan,Disquieting seismic sequence raises questions about evolving hazard,
143714215.central-turkey-shaken-by-unusual,2024-04-18T21:26:28.324Z,true,2024-04-18T21:26:28.450Z,2024-04-18T21:26:28.450Z,newsletter,only_paid,Central Turkey shaken by unusual M5.6 earthquake,"Not related to the major earthquakes on Feb. 6, 2023",
143692487.southern-japan-shaken-by-m63-earthquake,2024-04-18T01:13:46.525Z,true,2024-04-18T01:13:46.618Z,2024-04-18T01:13:46.618Z,newsletter,only_paid,Southern Japan shaken by M6.4 earthquake,A new earthquake joins the menagerie of Bungo Channel seismicity,
143677941.southern-japan-shaken-by-m63-earthquake,,false,,,newsletter,only_paid,,,
143304664.m48-new-jersey-earthquake-shakes,2024-04-05T20:04:54.253Z,true,2024-04-05T20:04:54.393Z,2024-04-05T20:04:54.393Z,newsletter,only_paid,M4.8 New Jersey earthquake shakes Northeastern United States,Largest earthquake in the region in 140 years,
143304463.259,,false,,,newsletter,only_paid,,,
143302590.m48-earthquake-strikes-new-jersey,,false,,,newsletter,only_paid,,,
143208658.deadly-m74-earthquake-strikes-taiwan,2024-04-03T15:21:34.237Z,true,2024-04-03T15:21:34.322Z,2024-04-03T15:21:34.322Z,newsletter,only_paid,Deadly M7.4 earthquake strikes Taiwan,Largest event in the country in over 20 years,
143208217.damaging-m74-earthquake-strikes-east,,false,,,newsletter,only_paid,,,
143166335.earthquake-insights-digest-april,2024-04-01T18:46:58.197Z,true,2024-04-01T18:46:58.377Z,2024-04-01T18:46:58.377Z,newsletter,only_paid,"Earthquake Insights digest - April 1, 2024",All of our posts to date,
143071849.m59-earthquake-shakes-southwestern,2024-03-29T17:37:01.769Z,true,2024-03-29T17:37:01.854Z,2024-03-29T17:37:01.854Z,newsletter,only_paid,M5.9 earthquake shakes southwestern Greece,Enigmatic strike-slip earthquake above a torn subducting slab,
143036927.m41-earthquake-rattles-northern-italy,2024-03-28T17:16:37.648Z,true,2024-03-28T17:16:37.783Z,2024-03-28T17:16:37.783Z,newsletter,only_paid,M4.1 earthquake rattles northern Italy,This part of the Southern Alps has previously hosted M6+ earthquakes,
142937127.cut-from-tidal-triggering-iv,,false,,,newsletter,only_paid,,,
142911673.m69-earthquake-shakes-papua-new-guinea,2024-03-24T18:12:58.095Z,true,2024-03-24T18:12:58.198Z,2024-03-24T18:12:58.198Z,newsletter,only_paid,M6.9 earthquake shakes Papua New Guinea,"Apparent ""mantle quake"" above the tip of a sinking slab",
142857163.magnitude-64-earthquake-rocks-java,2024-03-22T16:20:20.372Z,true,2024-03-22T16:20:20.452Z,2024-03-22T16:20:20.452Z,newsletter,only_paid,"Magnitude 6.4 earthquake rocks Java, Indonesia",An unusual shallow earthquake near Bawean Island was felt widely across Indonesia and surrounding areas,
142792568.cut-from-tidal-triggering-iii,,false,,,newsletter,only_paid,,,
142792413.e18,,false,,,newsletter,only_paid,,,
142754484.m55-earthquake-shakes-remote-registan,2024-03-19T15:32:04.575Z,true,2024-03-19T15:32:04.715Z,2024-03-19T15:32:04.715Z,newsletter,only_paid,M5.5 earthquake shakes remote Registan Desert,An unusual moderate earthquake near two plate boundaries,
142694050.tidal-asymmetry,,false,,,newsletter,only_paid,,,
142614340.m54-earthquake-shakes-montenegro,2024-03-14T16:33:36.914Z,true,2024-03-14T16:33:37.002Z,2024-03-14T16:33:37.002Z,newsletter,only_paid,"M5.4 earthquake shakes Montenegro, Bosnia",Distributed strike-slip faulting in a complex deforming region,
142611362.m54-earthquake-shakes-montenegro,,false,,,newsletter,only_paid,,,
142305895.tide-2-backup,,false,,,newsletter,only_paid,,,
142292380.m53-earthquake-shakes-almaty-kazakhstan,2024-03-04T16:45:46.385Z,true,2024-03-04T16:45:46.512Z,2024-03-04T16:45:46.512Z,newsletter,only_paid,"M5.3 earthquake shakes Almaty, Kazakhstan",A series of very large earthquakes struck this region 100-150 years ago.,
142279677.tides-leftover-studies,,false,,,newsletter,only_paid,,,
142205914.earthquake-insights-digest-march,2024-03-01T13:35:42.101Z,true,2024-03-01T13:35:42.209Z,2024-03-01T13:35:42.209Z,newsletter,only_paid,"Earthquake Insights digest - March 1, 2024",All posts to date.,
142173155.seismic-swarm-rattles-boso-peninsula,2024-02-29T18:07:06.659Z,true,2024-02-29T18:07:06.828Z,2024-02-29T18:07:06.828Z,newsletter,only_paid,"Seismic swarm rattles Boso Peninsula, Japan",Region is subject to regular swarms linked to slow slip on subduction zone,
142136223.under-the-sea-are-submarine-micro,,false,,,newsletter,only_paid,,,
142074211.m49-earthquake-shakes-idaho,2024-02-26T22:11:41.495Z,true,2024-02-26T22:11:41.688Z,2024-02-26T22:11:41.688Z,newsletter,only_paid,M4.9 earthquake shakes Idaho,Another strike-slip earthquake north of the Snake River Plain,
142011689.the-great-tidal-earthquake-hypothesis-bad,2024-03-21T20:32:32.456Z,true,2024-03-21T20:32:32.542Z,2024-03-21T20:32:32.542Z,newsletter,everyone,"The great tidal earthquake hypothesis test, part III",Replicating and testing global studies of tidal earthquake triggering ,
