how-does-seismic-hazard-vary-across,28.9748,41.0130,0
feb-6-turkey-syria-earthquakes,38.6533,37.9499,0
sometimes-earthquakes-hide-in-shaking,36.025,36.162,6.3
2023-turkey-syria-earthquakes-cause,33.4299,35.1264,0
stress-change-models-in-wake-of-2023,37.014,37.226,7.8
focal-mechanisms-of-2023-turkey-syria,37.014,37.226,7.8
m68-earthquake-in-tajikistan-occurred,73.229,38.055,6.9
satellite-observations-reveal-surface,36.025,36.162,6.8
report-highlights-liquefaction-in-2023,37.014,37.226,7.8
fault-creep-in-western-sea-of-marmara,28,40.45,0
did-feb-6-turkey-syria-earthquakes-make,36,35,0
once-one-earthquake-happens-on-dead-sea,35,30,0
evaluating-istanbuls-seismic-hazard,29,41,0
is-adana-at-risk-of-major-ground-shaking,35.3,37.0,0
what-happened-during-feb-6-turkey-syria,37.014,37.226,7.8
creep-on-eastern-east-anatolian-fault,39.061,38.431,6.7
seismic-hazard-update-for-gaziantep_3,37.3781,37.0660,0
how-geologists-use-fault-slip-rates-to,37.014,37.226,7.8
how-much-do-faults-slip-in-earthquakes,37.014,37.226,7.8
whats-difference-between-double,37.014,37.226,7.8
breaking-aftershock-patterns-of-feb-6,37.014,37.226,7.8
update-on-seismicity-near-kayseri-turkey_7,35.35,38.72,5
seismic-hazard-in-istanbul-is-driven-by,28.5,40.5,0
no-change-in-seismic-activity-on-east,37.5,37.5,0
update-on-seismicity-near-kayseri-turkey,35.35,38.72,5
new-approach-to-modeling-plate,175,-41,0
m42-earthquake-near-adana-march-11-2023,35.770,36.910,4.2
feb-6-earthquake-causes-aftershocks-on,35.5,35.5,3
aftershocks-of-turkey-syria-sequence,37.014,37.226,7.8
putting-aftershocks-near-adana-into,35.3308,36.9914,4
first-paper-about-2023-turkey-syria,37.014,37.226,7.8
how-seismicity-and-fault-creep-control,39,38.3,0
m44-earthquake-offshore-sw-cyprus-not,32.450,34.509,4.4
m47-earthquake-on-north-anatolian-fault,31.540,40.800,4.7
is-todays-m46-earthquake-offshore,34.417,36.436,4.6
seismic-hazard-update-for-gaziantep,37.3781,37.0660,0
m67-earthquake-below-ecuador-march-18,-79.852,-2.783,6.8
unusual-tectonic-setting-of-m67-ecuador,-79.852,-2.783,6.8
seismic-hazard-update-around-goksun,36.5,38,0
did-feb-6-2023-turkey-syria-earthquake,37.014,37.226,7.8
update-on-seismic-hazard-near-bingol,40.4966,38.8855,0
march-18-2023-m68-earthquake-in-ecuador,-79.852,-2.783,6.8
anthropogenic-earthquakes-along-dead,35.77,33.78,0
m65-earthquake-in-afghanistan-contrasts,70.943,36.523,6.5
m46-earthquake-in-california-triggers,-124.373,40.542,4.6
earthquakes-below-pamir-and-hindu-kush,72,37,0
m65-earthquake-below-argentina-march-22,-66.495,-23.422,6.5
update-on-aftershocks-in-hatay-turkey,36.2,36.2,0
m5-earthquake-in-flinders-region,139.59,-32.79,5
m49-aftershock-near-goksun-turkey,36.427,38.011,4.9
update-on-aftershocks-around-malatya,38.3,38.1,0
m56-earthquake-in-western-iran-march-24,44.851,38.461,5.6
update-on-seismic-risk-in-adana,35.5,36.9,0
update-on-march-16-2023-m47-earthquake,31.540,40.800,4.7
earthquake-swarm-near-kayseri-turkey,35.330,38.710,4.4
m6-earthquake-offshore-japan-march-28,142.8,41.2,6
m5-earthquake-in-east-african-rift,29.304,-0.662,4.7
should-we-expect-large-earthquake-on,36.3,36.1,0
m47-earthquake-near-molise-italy-march,14.665,41.666,4.7
march-29-m48-near-goksun-turkey,36.290,37.940,4.8
m63-earthquake-offshore-chile-occurred,-73.497,-35.666,6.3
m46-earthquakes-largest-aftershock-near,36.740,36.970,4.6
m46-earthquake-in-nepal-is-reminder-of,86.198,27.766,4.6
april-1-m45-near-near-samandag-turkey,35.817,36.003,4.5
m55-earthquake-in-flores-sea-indonesia,118.679,-7.811,5.5
m7-earthquake-in-papua-new-guinea,143.166,-4.323,7
feb-6-turkey-syria-earthquake-triggered,36.5,34.5,4.1
m65-earthquake-below-kamchatka-occurred,158.494,52.723,6.5
m61-earthquake-below-west-coast-of,98.921,0.946,6.1
two-months-after-2023-turkey-syria,37.014,37.226,7.8
m45-earthquake-rattles-san-jose,-121.323,36.801,4.5
m61-earthquake-in-panama-occurred-at,-82.335,7.567,6.1
oil-production-in-oklahoma-likely,-96.970,35.794,4.2
understanding-tectonics-of-turkey-and,33,39,0
alert-level-orange-at-nevado-del-ruiz,-75.3188,4.8920,0
did-feb-6-earthquakes-in-southeastern,39,41,0
m43-earthquake-in-northeast-india-is,87.170,25.814,4.3
hot-water-is-spewing-out-of-the-cascadia,-125.15,44.6,0
very-deep-m7-earthquake-east-of-java,112.059,-5.998,7
m42-earthquake-in-syria-widely-felt,35.713,33.779,4.2,always
m43-earthquake-in-the-pyrenees-caused,0.340,42.950,4.3
m52-earthquake-on-mexicos-western,-101.062,17.274,5.2
unusual-m45-earthquake-500-km-off,-70.836,32.620,4.5
two-new-papers-published-on-the-feb,37.014,37.226,7.8
m46-earthquake-east-of-athens-aftershock,24.214,38.240,4.6
m36-earthquake-below-eastern-shore,-76.020,43.864,3.6
m71-earthquake-north-of-new-zealand,-177.839,-29.957,7.1
m71-earthquake-hits-the-mentawai,98.511,-0.808,7.1
there-is-a-40-km-seismic-gap-on-the,38.8,38.25,0
two-earthquakes-m59-and-m54-shake,176.62,-40.28,5.9
m45-earthquake-in-southern-california,-115.590,33.201,4.5
m59-earthquake-offshore-okinawa-japan,128.475,26.016,5.9
m5-earthquake-near-goksun-turkey,36.556,38.054,5
